date,home_team,score,away_team
17-08-2024,,Arsenal,2 - 0
31-08-2024,,Arsenal,1 - 1
28-09-2024,,Arsenal,4 - 2
05-10-2024,,Arsenal,3 - 1
27-10-2024,,Arsenal,2 - 2
23-11-2024,,Arsenal,3 - 0
04-12-2024,,Arsenal,2 - 0
14-12-2024,,Arsenal,0 - 0
27-12-2024,,Arsenal,1 - 0
15-01-2025,,Arsenal,2 - 1
18-01-2025,,Arsenal,2 - 2
02-02-2025,,Arsenal,5 - 1
24-08-2024,,Aston Villa,0 - 2
15-09-2024,,Tottenham,0 - 1
22-09-2024,,Man City,2 - 2
19-10-2024,,Bournemouth,2 - 0
02-11-2024,,Newcastle,1 - 0
10-11-2024,,Chelsea,1 - 1
30-11-2024,,West Ham,2 - 5
08-12-2024,,Fulham,1 - 1
21-12-2024,,Crystal Palace,1 - 5
01-01-2025,,Brentford,1 - 3
04-01-2025,,Brighton,1 - 1
25-01-2025,,Wolves,0 - 1
15-02-2025,,Leicester,0 - 2
24-08-2024,,Aston Villa,0 - 2
14-09-2024,,Aston Villa,3 - 2
21-09-2024,,Aston Villa,3 - 1
06-10-2024,,Aston Villa,0 - 0
26-10-2024,,Aston Villa,1 - 1
23-11-2024,,Aston Villa,2 - 2
04-12-2024,,Aston Villa,3 - 1
07-12-2024,,Aston Villa,1 - 0
21-12-2024,,Aston Villa,2 - 1
30-12-2024,,Aston Villa,2 - 2
04-01-2025,,Aston Villa,2 - 1
26-01-2025,,Aston Villa,1 - 1
15-02-2025,,Aston Villa,1 - 1
17-08-2024,,West Ham,1 - 2
31-08-2024,,Leicester,1 - 2
29-09-2024,,Ipswich,2 - 2
19-10-2024,,Fulham,1 - 3
03-11-2024,,Tottenham,4 - 1
09-11-2024,,Liverpool,2 - 0
01-12-2024,,Chelsea,3 - 0
14-12-2024,,Nott'm Forest,2 - 1
26-12-2024,,Newcastle,3 - 0
15-01-2025,,Everton,0 - 1
18-01-2025,,Arsenal,2 - 2
01-02-2025,,Wolves,2 - 0
25-08-2024,,Bournemouth,1 - 1
14-09-2024,,Bournemouth,0 - 1
30-09-2024,,Bournemouth,3 - 1
19-10-2024,,Bournemouth,2 - 0
02-11-2024,,Bournemouth,2 - 1
23-11-2024,,Bournemouth,1 - 2
05-12-2024,,Bournemouth,1 - 0
16-12-2024,,Bournemouth,1 - 1
26-12-2024,,Bournemouth,0 - 0
04-01-2025,,Bournemouth,1 - 0
25-01-2025,,Bournemouth,5 - 0
01-02-2025,,Bournemouth,0 - 2
17-08-2024,,Nott'm Forest,1 - 1
31-08-2024,,Everton,2 - 3
21-09-2024,,Liverpool,3 - 0
05-10-2024,,Leicester,1 - 0
26-10-2024,,Aston Villa,1 - 1
09-11-2024,,Brentford,3 - 2
30-11-2024,,Wolves,2 - 4
08-12-2024,,Ipswich,1 - 2
22-12-2024,,Man United,0 - 3
29-12-2024,,Fulham,2 - 2
14-01-2025,,Chelsea,2 - 2
18-01-2025,,Newcastle,1 - 4
15-02-2025,,Southampton,1 - 3
18-08-2024,,Brentford,2 - 1
31-08-2024,,Brentford,3 - 1
28-09-2024,,Brentford,1 - 1
05-10-2024,,Brentford,5 - 3
26-10-2024,,Brentford,4 - 3
09-11-2024,,Brentford,3 - 2
30-11-2024,,Brentford,4 - 1
07-12-2024,,Brentford,4 - 2
21-12-2024,,Brentford,0 - 2
01-01-2025,,Brentford,1 - 3
